"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"k-255871";"Z_2";"50";"product";"TRUE";"2";"2";"1";"1";"200";"17.735";"0";"0";"0";"0";"0.0014";"0.03";"19.164";"0.0029";"0";"0";"0";"0";"0";"0";"0.0124";"0.0014";"0.0026";"0.0179";"0.0151";"0.0041";"0";"0";"0";"0";"0.0115";"0.01";"0.0053";"0.0158";"0";"0.0115"
"w-485074";"Z_1";"2";"sum";"FALSE";"20";"2";"0";"3";"200";"10.169";"15.409";"11.254";"0.6114";"0.8834";"0.6036";"0.7994";"0.9292";"0.8202";"10.599";"12.579";"15.547";"12.707";"1.055";"0.8385";"0.7187";"0.5144";"0.6039";"0.7288";"0.6712";"0.8027";"13.099";"10.848";"13.673";"12.154";"0.6276";"0.6799";"0.4175";"0.665";"10.698";"0.6348"
"c-731274";"Z_3";"50";"product";"TRUE";"100";"0.2";"2";"4";"200";"0.3152";"0.4367";"0.2876";"0.3137";"0.3066";"0.4023";"0.2994";"0.3292";"0.319";"0.4391";"0.4453";"0.432";"0.2981";"0.2928";"0.321";"0.4014";"0.4078";"0.395";"0.3118";"0.3042";"0.3355";"0.457";"0.4391";"0.4432";"0.3063";"0.4152";"0.4002";"0.403";"0.3195";"0.4574";"0.4146"
"b-353125";"Z_3";"2";"sum";"FALSE";"100";"0.1";"2";"1";"200";"0.9695";"0.5454";"0";"0.8282";"0";"0.7956";"0";"0.9682";"0";"0";"0.524";"0";"0";"0";"0";"0.1794";"0.8";"0.0027";"0";"0";"0";"0";"0";"0";"0";"0.1491";"0.1092";"0";"0";"0";"0.1021"
"b-977501";"Z_3";"100";"product";"TRUE";"10";"5";"0.5";"3";"200";"0.013";"0.0248";"0";"0.0278";"0";"12.718";"0.0194";"0.0347";"0";"2,00E-04";"0.0495";"0.0052";"7,00E-04";"0";"1,00E-04";"0.0697";"12.631";"12.068";"0.0184";"4,00E-04";"0";"8,00E-04";"2,00E-04";"2,00E-04";"0";"0.1125";"0.5231";"0.2673";"1,00E-04";"1,00E-04";"0.1929"
"s-332386";"Z_4";"20";"sum";"TRUE";"100";"2";"10";"2";"200";"0.7005";"0.6838";"0.6964";"0.579";"0.6983";"0.7041";"0.6846";"0.6068";"0.7101";"0.74";"0.4957";"0.6451";"0.5993";"0.6761";"0.6056";"0.7177";"0.475";"0.6836";"0.5992";"0.6669";"0.6125";"0.5116";"0.6613";"0.4876";"0.5684";"0.4855";"0.6471";"0.4973";"0.5552";"0.4831";"0.451"
"k-523285";"Z_2";"20";"sum";"FALSE";"20";"0.5";"1";"3";"200";"19.331";"0.1019";"0.5942";"0.4957";"0.2146";"0.0568";"14.699";"19.329";"1.201";"0.1549";"0.0993";"0.0793";"0.4564";"0.4806";"0.4516";"0.0846";"0.0724";"0.0481";"1.343";"1.428";"15.503";"0.1334";"0.1493";"0.2022";"0.4423";"0.1115";"0.0879";"0.0444";"1.462";"0.2022";"0.0665"
"p-992021";"Z_6";"3";"product";"TRUE";"20";"0";"2";"1";"200";"17.494";"17.806";"14.418";"10.202";"11.376";"11.585";"0.7312";"10.156";"0.8694";"10.791";"0.8694";"0.3208";"19.552";"10.655";"0.3216";"0.7147";"0.9855";"11.944";"18.642";"10.369";"0.2868";"18.768";"0.8164";"0.1849";"11.626";"1.835";"10.076";"0.4335";"0.9805";"11.198";"0.8521"
"f-425279";"Z_2";"3";"product";"FALSE";"10";"2";"0.1";"1";"200";"0.5399";"0.0438";"0.347";"0.5715";"1.055";"0.0114";"0.0901";"0.3927";"0.0309";"0.0424";"0.0353";"0.068";"0.2068";"0.2418";"0.9597";"0.0114";"0.0084";"0.0024";"0.0756";"0.0167";"0.0052";"0.0327";"0.0686";"0.0558";"0.1575";"0.0083";"0.0023";"0.0024";"0.0098";"0.0524";"0.0023"
"a-785041";"Z_1";"10";"product";"FALSE";"50";"1";"5";"4";"200";"0.2906";"0.6286";"0.2171";"0.2444";"0.2412";"0.5515";"0.2577";"0.292";"0.2879";"0.6549";"0.5542";"0.5529";"0.2297";"0.2021";"0.2452";"0.6359";"0.5039";"0.5022";"0.2621";"0.2481";"0.289";"0.6417";"0.5047";"0.5171";"0.2264";"0.6191";"0.4747";"0.4936";"0.2609";"0.4748";"0.4496"
"q-485624";"Z_2";"5";"product";"FALSE";"20";"5";"5";"1";"200";"0.2105";"0";"0";"0";"0";"0.031";"0.0404";"0.1973";"0.0394";"0";"0";"0";"0";"0";"0";"0.0347";"0.031";"0.0595";"0.0461";"0.0301";"0.0256";"0";"0";"0";"0";"0.0344";"0.058";"0.0498";"0.0263";"0";"0.061"
"a-354276";"Z_3";"5";"product";"FALSE";"3";"5";"0.5";"2";"200";"0.1174";"0.1264";"0.122";"0.0452";"0.0452";"0.0958";"0.6288";"0.1186";"0.1182";"0.1844";"0.1137";"0.1333";"0.1287";"0.1557";"0.0434";"0.4756";"0.0964";"0.0947";"0.7001";"0.8256";"0.1194";"0.1611";"0.2176";"0.1287";"0.1404";"0.4825";"0.5608";"0.0952";"0.8202";"0.2176";"0.566"
"i-508139";"Z_3";"3";"sum";"TRUE";"20";"0";"2";"4";"200";"0.9238";"10.697";"10.899";"13.192";"10.593";"0.8567";"0.8889";"1.269";"0.8889";"10.508";"14.506";"0.9987";"13.359";"10.531";"13.851";"0.7948";"12.518";"0.7928";"12.239";"0.8574";"1.223";"14.249";"0.9844";"13.847";"13.686";"11.881";"0.7462";"11.648";"11.823";"13.701";"11.076"
"y-286131";"Z_1";"3";"product";"FALSE";"100";"0.2";"0.2";"4";"200";"14.717";"12.967";"16.181";"15.104";"15.333";"13.156";"1.543";"14.652";"14.633";"14.385";"13.546";"12.471";"15.901";"16.082";"15.183";"14.372";"13.548";"12.861";"15.096";"15.343";"14.743";"13.874";"1.386";"13.266";"15.929";"13.826";"14.024";"13.425";"15.174";"13.631";"13.703"
"i-305956";"Z_6";"50";"product";"FALSE";"20";"10";"0.2";"2";"200";"0.0219";"0.0512";"0.0095";"0.0081";"0.2003";"0.0259";"0.0097";"0.0105";"0.0612";"0.0086";"0.0101";"0.154";"4,00E-04";"0.6284";"0.5322";"0.0101";"0.0118";"0.0445";"3,00E-04";"0.666";"0.278";"4,00E-04";"0.6801";"0.3888";"13.096";"3,00E-04";"0.673";"0.1757";"13.213";"12.748";"12.863"
"b-380092";"Z_2";"10";"sum";"FALSE";"2";"5";"0.5";"2";"200";"12.643";"0.1126";"0";"2,00E-04";"0.0285";"Jan 27";"18.266";"18.977";"01. Jun";"0.098";"0.0882";"0.2786";"2,00E-04";"0.0329";"0.0109";"17.383";"18.129";"1.539";"18.887";"15.712";"17.275";"0.146";"0.2989";"0.3465";"0.0111";"17.817";"14.947";"16.486";"16.767";"0.3568";"15.666"
"b-683651";"Z_2";"5";"product";"TRUE";"50";"10";"0.1";"1";"200";"0.3466";"0";"0";"3,00E-04";"0";"0.0022";"6,00E-04";"0.3539";"0.0023";"0";"0";"0";"0";"0";"0";"0.0039";"0.0022";"0.0079";"6,00E-04";"6,00E-04";"8,00E-04";"0";"0";"0";"0";"0.0036";"0.0041";"0.006";"7,00E-04";"0";"0.0038"
"m-489223";"Z_2";"2";"product";"FALSE";"20";"10";"10";"3";"200";"0.2794";"0.1084";"0.0884";"0.0268";"0.2686";"0.603";"0.4132";"0.302";"0.6531";"0.0793";"0.1014";"0.3056";"0.0818";"0.285";"0.1828";"0.6015";"0.6295";"0.8013";"0.397";"0.6543";"0.6067";"0.0735";"0.1481";"0.2203";"0.1877";"0.6278";"0.8154";"0.769";"0.6249";"0.218";"0.8003"
"e-635594";"Z_1";"3";"product";"TRUE";"2";"0";"10";"2";"200";"0.4314";"0.0115";"0.7158";"12.068";"0.2478";"0.4127";"0.2767";"0.3298";"0.1936";"0.0154";"0.0247";"0.0167";"10.915";"0.0063";"0.2422";"0.3854";"0.362";"0.2154";"0.2468";"0.1661";"0.1635";"0.0448";"0.0162";"0.0519";"0.0047";"0.2037";"0.2126";"0.2244";"0.1672";"0.0524";"0.3116"
"b-775886";"Z_4";"5";"sum";"FALSE";"2";"10";"10";"3";"200";"0";"0";"0.5573";"0";"0";"0.2168";"0.5206";"0";"0.2296";"0.0712";"0.0312";"0";"0.5094";"01. Jul";"0.1837";"0.0739";"0.0648";"0.2166";"0.4799";"10.973";"0.179";"0.0807";"0.0871";"0.0309";"0.9604";"0.0833";"0.0912";"0.0629";"0.9745";"0.1228";"0.1322"
"v-164660";"Z_2";"100";"sum";"TRUE";"3";"0";"5";"4";"200";"19.271";"15.668";"19.055";"18.021";"17.054";"16.594";"19.329";"18.348";"17.621";"17.139";"19.583";"10.617";"18.096";"17.251";"15.466";"17.208";"19.273";"10.666";"18.408";"17.662";"15.985";"19.483";"11.947";"19.977";"15.354";"19.202";"12.546";"19.987";"15.661";"19.915";"19.995"
"a-505816";"Z_3";"10";"product";"FALSE";"100";"1";"0.5";"3";"200";"17.914";"0.5863";"0.0374";"0.8962";"0.1955";"18.277";"0.0752";"18.551";"0.5297";"0.0415";"0.7043";"0.2309";"0.0379";"0.0566";"0.1452";"0.3586";"17.053";"0.0847";"0.1107";"0.1067";"0.7304";"0.0454";"0.0757";"0.1424";"0.0652";"0.384";"0.057";"0.487";"0.2652";"0.085";"0.3033"
"y-258875";"Z_2";"20";"product";"FALSE";"3";"0";"0.5";"3";"200";"0.9576";"0.7012";"0.5455";"0.5231";"0.6124";"0.9072";"0.98";"0.9023";"0.9891";"0.6718";"0.7276";"0.6976";"0.5701";"0.5373";"0.6214";"0.8867";"0.9284";"0.9057";"0.986";"0.9759";"0.9922";"0.6982";"0.6263";"0.749";"0.5936";"0.9198";"0.8903";"0.9319";"0.9919";"0.6724";"0.9378"
"r-709814";"Z_4";"50";"product";"FALSE";"10";"5";"2";"4";"200";"0.4705";"0.4864";"0.4728";"0.7251";"15.497";"0.5118";"0.5085";"0.7184";"1.541";"0.5059";"0.895";"14.184";"0.6638";"13.945";"1.744";"0.5442";"0.8855";"13.525";"0.6926";"14.271";"17.969";"0.8599";"13.233";"1.783";"1.567";"0.8796";"13.436";"18.321";"1.652";"17.347";"17.874"
"s-237896";"Z_6";"2";"sum";"FALSE";"50";"0";"1";"4";"200";"10.863";"0.8768";"11.491";"0.7506";"11.505";"10.127";"11.233";"0.8768";"12.176";"11.249";"0.6776";"10.247";"0.959";"13.325";"0.8985";"10.951";"0.7993";"11.181";"0.9318";"12.856";"10.008";"0.9598";"13.338";"0.8144";"12.191";"0.9334";"12.836";"0.8876";"11.745";"11.939";"11.824"
"x-823890";"Z_6";"2";"product";"FALSE";"10";"0.1";"5";"4";"200";"0.6389";"0.7697";"0.6251";"0.7841";"0.6671";"0.7498";"0.6285";"0.7827";"0.6707";"0.8023";"0.7295";"0.8232";"0.8076";"0.7471";"0.7991";"0.8023";"0.7233";"0.8232";"0.8102";"0.7828";"0.8017";"0.7468";"0.6132";"0.7416";"0.6309";"0.7384";"0.6086";"0.7359";"0.6832";"0.4431";"0.4503"
"p-565835";"Z_1";"100";"product";"TRUE";"50";"2";"0.5";"2";"200";"0.002";"0.2909";"0.6297";"0.5433";"0.4285";"0.0192";"0.0021";"0.0022";"0.0057";"0.4315";"0.2805";"0.3133";"0.639";"0.5116";"0.374";"0.0253";"0.0184";"0.0194";"0.0021";"0.0084";"0.0054";"0.4331";"0.4315";"0.3241";"0.4586";"0.0264";"0.0258";"0.0182";"0.0089";"0.4489";"0.0256"
"v-341783";"Z_6";"3";"sum";"FALSE";"3";"2";"0.1";"2";"200";"0.0504";"0.1079";"0.3333";"0.3081";"0.061";"0.0241";"0.4163";"0.4593";"0.1902";"0.4532";"0.6322";"0.3795";"0.4841";"10.551";"0.6007";"0.2924";"0.5804";"0.1851";"0.1056";"0.4755";"0.4287";"10.711";"0.618";"0.4699";"0.6952";"0.551";"0.1876";"0.2584";"0.5771";"0.7266";"0.5352"
"i-714172";"Z_5";"5";"product";"TRUE";"2";"1";"5";"2";"200";"0.8548";"0.838";"0.88";"0.828";"0.9263";"0.9171";"10.637";"0.8506";"11.143";"0.9113";"0.8287";"0.9998";"0.8699";"0.8382";"0.863";"10.409";"0.9163";"10.318";"10.451";"10.411";"11.173";"0.8977";"0.9753";"0.9607";"0.7446";"0.9481";"0.9774";"11.072";"0.97";"0.8691";"0.9762"
"v-669379";"Z_1";"100";"sum";"TRUE";"20";"0";"1";"4";"200";"0.0183";"0.0172";"0.009";"0.0171";"0.0143";"0.0228";"0.0107";"0.0227";"0.018";"0.0107";"0.0194";"0.017";"0.0105";"0.0077";"0.0167";"0.013";"0.0273";"0.0226";"0.0133";"0.009";"0.0223";"0.0121";"0.0092";"0.019";"0.0093";"0.0163";"0.0104";"0.0268";"0.0111";"0.0109";"0.013"
"x-593476";"Z_2";"2";"product";"TRUE";"10";"2";"1";"3";"200";"14.838";"0";"0.0017";"0.0041";"0.0024";"0.0063";"0.5354";"12.346";"0.5552";"0";"0";"0";"0.0019";"0.0014";"0.003";"0.0075";"0.007";"0.0065";"0.7173";"0.4847";"0.323";"0";"0";"0";"0.0016";"0.0087";"0.008";"0.0068";"0.5667";"0";"0.0084"
"c-665805";"Z_3";"10";"sum";"TRUE";"50";"2";"0.1";"3";"200";"0.6774";"14.444";"0.7715";"0.7844";"11.437";"11.212";"0.92";"0.7101";"0.3891";"0.594";"15.567";"17.949";"0.7849";"0.2526";"10.074";"0.9629";"11.646";"0.7491";"0.8239";"0.0812";"0.5778";"0.8488";"0.4365";"13.414";"0.7446";"0.8991";"0.1565";"0.9306";"0.4365";"11.942";"0.4854"
"k-309228";"Z_1";"50";"product";"FALSE";"5";"0";"5";"1";"200";"0.796";"0.2941";"0.2988";"0.2729";"0.3263";"0.4721";"0.4403";"0.3879";"0.3055";"0.363";"0.2464";"0.2399";"0.2531";"0.2751";"0.2573";"0.4717";"0.2013";"0.3584";"0.1655";"0.2629";"0.2333";"0.3139";"0.2452";"0.2432";"0.2872";"0.1829";"0.3692";"0.3686";"0.2385";"0.2833";"0.1743"
"g-918605";"Z_4";"10";"product";"TRUE";"20";"0";"2";"2";"200";"0.8639";"0.8744";"0.9684";"0.628";"0.335";"0.8732";"18.227";"0.8965";"0.3275";"17.596";"0.7603";"0.4124";"10.927";"13.837";"0.2701";"18.527";"0.993";"0.4663";"11.759";"18.562";"0.2875";"12.132";"18.104";"0.3034";"18.646";"12.564";"18.489";"0.3947";"Jan 92";"18.387";"1.898"
"g-925839";"Z_4";"50";"product";"TRUE";"5";"0.2";"10";"3";"200";"0.0101";"0.0074";"0.1698";"0.0122";"0.0182";"0.0054";"0.1753";"0.0117";"0.0251";"0.2535";"0.0083";"0.0142";"0.2422";"0.1642";"0.0285";"0.4186";"0.0065";"0.0111";"0.2545";"0.1752";"0.0445";"0.3428";"0.2476";"0.022";"0.242";"0.5418";"0.4111";"0.0188";"0.255";"0.34";"0.5408"
"z-505335";"Z_3";"10";"product";"FALSE";"20";"2";"0.1";"3";"200";"11.525";"0.0194";"0.0024";"0.1607";"0.3462";"11.002";"0.9663";"12.082";"0.2244";"0.0011";"0.0241";"0.4137";"0.0029";"0.5406";"0.4417";"0.5893";"10.919";"0.4612";"0.9873";"0.3745";"0.3829";"0.001";"0.5636";"0.497";"0.3959";"0.6007";"0.3501";"0.3423";"0.3462";"0.5239";"0.25"
