"set";"pvalue";"beta_gender_male";"beta_ethnicity_other";"beta_ethnicity_afam";"beta_score";"beta_fcollege_no";"beta_mcollege_no";"beta_home_no";"beta_urban_no";"beta_unemp";"beta_wage";"sd_gender_male";"sd_ethnicity_other";"sd_ethnicity_afam";"sd_score";"sd_fcollege_no";"sd_mcollege_no";"sd_home_no";"sd_urban_no";"sd_unemp";"sd_wage"
"369";"0.001";"0";"0";"0";"0.044";"0";"0";"-0.082";"0";"0.001";"-0.02";"0";"0";"0";"0.002";"0";"0";"0.035";"0";"0.005";"0.01"
"370";"0.01";"0";"0";"0";"0.045";"0";"0";"0";"-0.017";"0.001";"-0.019";"0";"0";"0";"0.002";"0";"0";"0";"0.032";"0.005";"0.01"
"371";"0.008";"0";"0";"0";"0";"-0.436";"-0.348";"-0.147";"0.015";"0";"0";"0";"0";"0";"0";"0.038";"0.045";"0.037";"0.033";"0";"0"
"372";"0.01";"0";"0";"0";"0";"-0.44";"-0.35";"-0.148";"0";"0.005";"0";"0";"0";"0";"0";"0.038";"0.045";"0.037";"0";"0.005";"0"
"373";"0.002";"0";"0";"0";"0";"-0.436";"-0.348";"-0.147";"0";"0";"0.007";"0";"0";"0";"0";"0.038";"0.045";"0.037";"0";"0";"0.01"
"374";"0.005";"0";"0";"0";"0";"-0.447";"-0.356";"0";"0.026";"0.005";"0";"0";"0";"0";"0";"0.038";"0.045";"0";"0.033";"0.005";"0"
"375";"0.007";"0";"0";"0";"0";"-0.443";"-0.354";"0";"0.027";"0";"0.01";"0";"0";"0";"0";"0.038";"0.045";"0";"0.033";"0";"0.01"
"376";"0.01";"0";"0";"0";"0";"-0.447";"-0.356";"0";"0";"0.005";"0.008";"0";"0";"0";"0";"0.038";"0.045";"0";"0";"0.005";"0.011"
"377";"0.004";"0";"0";"0";"0";"-0.564";"0";"-0.156";"0.017";"0.003";"0";"0";"0";"0";"0";"0.035";"0";"0.037";"0.034";"0.005";"0"
"378";"0.007";"0";"0";"0";"0";"-0.562";"0";"-0.154";"0.017";"0";"0.007";"0";"0";"0";"0";"0.035";"0";"0.037";"0.034";"0";"0.011"
"379";"0.007";"0";"0";"0";"0";"-0.564";"0";"-0.156";"0";"0.002";"0.006";"0";"0";"0";"0";"0.035";"0";"0.037";"0";"0.005";"0.011"
"380";"0.006";"0";"0";"0";"0";"-0.573";"0";"0";"0.029";"0.002";"0.009";"0";"0";"0";"0";"0.035";"0";"0";"0.034";"0.005";"0.011"
"381";"0.001";"0";"0";"0";"0";"0";"-0.567";"-0.168";"0.029";"0.001";"0";"0";"0";"0";"0";"0";"0.042";"0.037";"0.034";"0.005";"0"
"382";"0.003";"0";"0";"0";"0";"0";"-0.566";"-0.166";"0.029";"0";"0.01";"0";"0";"0";"0";"0";"0.041";"0.037";"0.034";"0";"0.011"
"383";"0.003";"0";"0";"0";"0";"0";"-0.567";"-0.169";"0";"0";"0.01";"0";"0";"0";"0";"0";"0.042";"0.037";"0";"0.005";"0.011"
"384";"0.008";"0";"0";"0";"0";"0";"-0.577";"0";"0.043";"-0.001";"0.013";"0";"0";"0";"0";"0";"0.042";"0";"0.034";"0.005";"0.011"
"385";"0.005";"0";"0";"0";"0";"0";"0";"-0.196";"0.044";"-0.007";"0.016";"0";"0";"0";"0";"0";"0";"0.038";"0.034";"0.005";"0.011"
"386";"0.009";"-0.056";"-0.081";"-0.001";"0.042";"-0.367";"0";"0";"0";"0";"0";"0.027";"0.036";"0.045";"0.002";"0.034";"0";"0";"0";"0";"0"
"387";"0.009";"-0.051";"-0.071";"-0.021";"0.043";"0";"-0.385";"0";"0";"0";"0";"0.027";"0.036";"0.045";"0.002";"0";"0.039";"0";"0";"0";"0"
"388";"0.003";"-0.051";"-0.053";"0.014";"0.045";"0";"0";"-0.089";"0";"0";"0";"0.027";"0.036";"0.045";"0.002";"0";"0";"0.035";"0";"0";"0"
"389";"0.007";"-0.049";"-0.045";"0.009";"0.046";"0";"0";"0";"-0.009";"0";"0";"0.027";"0.036";"0.045";"0.002";"0";"0";"0";"0.032";"0";"0"
"390";"0.009";"-0.049";"-0.047";"0.009";"0.046";"0";"0";"0";"0";"-0.002";"0";"0.027";"0.036";"0.045";"0.002";"0";"0";"0";"0";"0.005";"0"
"391";"0.01";"-0.048";"-0.04";"0.009";"0.046";"0";"0";"0";"0";"0";"-0.016";"0.027";"0.036";"0.045";"0.002";"0";"0";"0";"0";"0";"0.01"
"392";"0.004";"-0.01";"0.095";"-0.131";"0";"-0.415";"-0.354";"0";"0";"0";"0";"0.028";"0.037";"0.047";"0";"0.039";"0.045";"0";"0";"0";"0"
"393";"0.007";"-0.012";"0.101";"-0.103";"0";"-0.536";"0";"-0.129";"0";"0";"0";"0.028";"0.037";"0.047";"0";"0.035";"0";"0.037";"0";"0";"0"
"394";"0";"-0.009";"0.114";"-0.111";"0";"-0.542";"0";"0";"-0.012";"0";"0";"0.028";"0.037";"0.047";"0";"0.035";"0";"0";"0.034";"0";"0"
"395";"0";"-0.008";"0.113";"-0.107";"0";"-0.544";"0";"0";"0";"0.003";"0";"0.028";"0.037";"0.048";"0";"0.035";"0";"0";"0";"0.005";"0"
"396";"0.003";"-0.009";"0.112";"-0.11";"0";"-0.542";"0";"0";"0";"0";"-0.001";"0.028";"0.037";"0.047";"0";"0.035";"0";"0";"0";"0";"0.011"
"397";"0";"-0.003";"0.123";"-0.135";"0";"0";"-0.551";"-0.133";"0";"0";"0";"0.028";"0.037";"0.048";"0";"0";"0.041";"0.037";"0";"0";"0"
"398";"0.003";"0";"0.136";"-0.144";"0";"0";"-0.558";"0";"-0.011";"0";"0";"0.028";"0.037";"0.048";"0";"0";"0.041";"0";"0.034";"0";"0"
"399";"0";"0";"0.135";"-0.142";"0";"0";"-0.559";"0";"0";"0.001";"0";"0.028";"0.037";"0.048";"0";"0";"0.042";"0";"0";"0.005";"0"
"400";"0.006";"0";"0.135";"-0.143";"0";"0";"-0.558";"0";"0";"0";"-0.001";"0.028";"0.037";"0.048";"0";"0";"0.041";"0";"0";"0";"0.011"
"401";"0.001";"0.004";"0.178";"-0.1";"0";"0";"0";"-0.159";"-0.012";"0";"0";"0.029";"0.038";"0.049";"0";"0";"0";"0.038";"0.035";"0";"0"
"402";"0";"0.003";"0.173";"-0.103";"0";"0";"0";"-0.159";"0";"-0.005";"0";"0.029";"0.038";"0.049";"0";"0";"0";"0.038";"0";"0.005";"0"
"403";"0.006";"0.004";"0.178";"-0.099";"0";"0";"0";"-0.159";"0";"0";"-0.003";"0.029";"0.038";"0.048";"0";"0";"0";"0.038";"0";"0";"0.011"
"404";"0.007";"0.007";"0.189";"-0.112";"0";"0";"0";"0";"0";"-0.005";"0";"0.029";"0.038";"0.049";"0";"0";"0";"0";"0.035";"0.005";"0"
"405";"0.003";"0.008";"0.192";"-0.108";"0";"0";"0";"0";"-0.002";"0";"-0.001";"0.029";"0.038";"0.049";"0";"0";"0";"0";"0.035";"0";"0.011"
"406";"0.001";"0.007";"0.187";"-0.112";"0";"0";"0";"0";"0";"-0.005";"0.002";"0.029";"0.038";"0.049";"0";"0";"0";"0";"0";"0.005";"0.011"
"407";"0.007";"-0.055";"-0.081";"0";"0.041";"-0.279";"-0.254";"0";"0";"0";"0";"0.027";"0.03";"0";"0.002";"0.037";"0.043";"0";"0";"0";"0"
"408";"0.006";"-0.057";"-0.087";"0";"0.042";"-0.365";"0";"-0.074";"0";"0";"0";"0.027";"0.03";"0";"0.002";"0.034";"0";"0.035";"0";"0";"0"
"409";"0.001";"-0.056";"-0.078";"0";"0.042";"-0.368";"0";"0";"-0.015";"0";"0";"0.027";"0.03";"0";"0.002";"0.034";"0";"0";"0.032";"0";"0"
"410";"0.01";"-0.055";"-0.08";"0";"0.042";"-0.369";"0";"0";"0";"0.003";"0";"0.027";"0.03";"0";"0.002";"0.034";"0";"0";"0";"0.005";"0"
"411";"0.005";"-0.055";"-0.074";"0";"0.042";"-0.367";"0";"0";"0";"0";"-0.014";"0.027";"0.03";"0";"0.002";"0.034";"0";"0";"0";"0";"0.01"
"412";"0.006";"-0.052";"-0.069";"0";"0.043";"0";"-0.38";"-0.076";"0";"0";"0";"0.027";"0.03";"0";"0.002";"0";"0.039";"0.035";"0";"0";"0"
"413";"0.005";"-0.051";"-0.06";"0";"0.043";"0";"-0.384";"0";"-0.013";"0";"0";"0.027";"0.03";"0";"0.002";"0";"0.039";"0";"0.032";"0";"0"
"414";"0.005";"-0.05";"-0.062";"0";"0.043";"0";"-0.385";"0";"0";"0.002";"0";"0.027";"0.03";"0";"0.002";"0";"0.039";"0";"0";"0.005";"0"
"415";"0.003";"-0.05";"-0.055";"0";"0.043";"0";"-0.383";"0";"0";"0";"-0.014";"0.027";"0.03";"0";"0.002";"0";"0.039";"0";"0";"0";"0.01"
"416";"0.007";"-0.051";"-0.057";"0";"0.045";"0";"0";"-0.089";"-0.015";"0";"0";"0.027";"0.031";"0";"0.002";"0";"0";"0.035";"0.032";"0";"0"
"417";"0.006";"-0.051";"-0.06";"0";"0.045";"0";"0";"-0.088";"0";"-0.002";"0";"0.027";"0.03";"0";"0.002";"0";"0";"0.035";"0";"0.005";"0"
"418";"0.006";"-0.05";"-0.052";"0";"0.046";"0";"0";"-0.09";"0";"0";"-0.017";"0.027";"0.03";"0";"0.002";"0";"0";"0.035";"0";"0";"0.01"
"419";"0.01";"-0.049";"-0.05";"0";"0.046";"0";"0";"0";"-0.009";"-0.002";"0";"0.027";"0.03";"0";"0.002";"0";"0";"0";"0.032";"0.005";"0"
"420";"0.008";"-0.048";"-0.042";"0";"0.046";"0";"0";"0";"-0.01";"0";"-0.016";"0.027";"0.031";"0";"0.002";"0";"0";"0";"0.032";"0";"0.01"
"421";"0.01";"-0.048";"-0.044";"0";"0.046";"0";"0";"0";"0";"0";"-0.016";"0.027";"0.03";"0";"0.002";"0";"0";"0";"0";"0.005";"0.011"
"422";"0.004";"-0.01";"0.142";"0";"0";"-0.412";"-0.342";"-0.124";"0";"0";"0";"0.028";"0.03";"0";"0";"0.039";"0.045";"0.037";"0";"0";"0"
