"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"r-432988";"Z_2";"10";"product";"TRUE";"10";"0";"0.5";"log";"2000";"0.683";"0.0671";"0.0027";"0.368";"0.1549";"0.7711";"0.7726";"0.8015";"0.6372";"0.0649";"0.0758";"0.0718";"0.0024";"0.0061";"0.011";"0.7692";"0.8476";"0.787";"0.8734";"0.7129";"0.701";"0.0733";"0.0687";"0.076";"0.0061";"0.8476";"0.782";"0.8476";"0.7386";"0.0727";"0.8602"
"p-564208";"Z_2";"100";"sum";"FALSE";"100";"10";"0.2";"softplus";"2000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"h-725278";"Z_6";"2";"sum";"TRUE";"2";"1";"0";"softplus";"2000";"0.0794";"0.0775";"0.709";"0.0444";"0.0146";"0.1321";"0.709";"0.0437";"0.0192";"0.7056";"0.0451";"0.015";"0.5769";"1.3373";"0.045";"0.7191";"0.0826";"0.0269";"0.5514";"1.3371";"0.0363";"0.6794";"1.3374";"0.045";"0.9377";"0.6919";"1.3388";"0.0365";"0.9371";"0.9362";"0.9374"
"c-716875";"Z_5";"100";"product";"TRUE";"100";"0.1";"1";"square";"2000";"1.0714";"1.1341";"1.0271";"1.2675";"0.2206";"1.1046";"0.9963";"1.1999";"0.0993";"1.0802";"1.2837";"0.2255";"1.2289";"1.1679";"0.2166";"1.0211";"1.2293";"0.0204";"1.1499";"1.1585";"0.1392";"1.2571";"1.1906";"0.2141";"1.1954";"1.1701";"1.1956";"0.0102";"1.1389";"1.1771";"1.1826"
"o-627273";"Z_5";"20";"sum";"FALSE";"20";"0.1";"10";"square";"2000";"0.2291";"0.2318";"0.2338";"0.2211";"0.7122";"0.2317";"0.2347";"0.2244";"0.713";"0.2419";"0.2271";"0.7188";"0.2292";"0.7057";"0.6992";"0.2427";"0.2271";"0.7172";"0.2306";"0.7073";"0.7065";"0.2375";"0.7172";"0.7155";"0.6928";"0.2383";"0.718";"0.7155";"0.7041";"0.7155";"0.7172"
"t-441053";"Z_5";"50";"sum";"FALSE";"50";"0.5";"5";"log";"2000";"0.2788";"0.2716";"0.2657";"0.2715";"0.2496";"0.2881";"0.2758";"0.2788";"0.2667";"0.2715";"0.2797";"0.2553";"0.2681";"0.2478";"0.2554";"0.2872";"0.2893";"0.2759";"0.2766";"0.2648";"0.2662";"0.2755";"0.2534";"0.2629";"0.2513";"0.2876";"0.2752";"0.2763";"0.2637";"0.2583";"0.2747"
"x-371715";"Z_4";"5";"product";"TRUE";"5";"0.1";"5";"softplus";"2000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"k-587411";"Z_5";"100";"product";"FALSE";"100";"10";"5";"square";"2000";"1.9417";"1.934";"1.94";"1.938";"0";"1.9356";"1.9419";"1.9425";"0";"1.9335";"1.9313";"0";"1.9372";"0";"0";"1.9365";"1.9347";"0";"1.9411";"0";"0";"1.9303";"0";"0";"0";"1.9345";"0";"0";"0";"0";"0"
"o-273277";"Z_5";"5";"product";"TRUE";"5";"0.1";"5";"softplus";"2000";"1.1355";"1.1847";"1.1634";"1.1585";"0.0023";"1.1084";"1.0883";"1.0997";"0.0029";"1.1635";"1.1577";"0.0025";"1.1407";"6e-04";"0.0031";"1.0351";"1.0551";"0.0027";"1.0778";"8e-04";"0.004";"1.1407";"8e-04";"0.0036";"7e-04";"1.0223";"8e-04";"0.0033";"9e-04";"8e-04";"9e-04"
"c-788297";"Z_4";"5";"sum";"FALSE";"5";"5";"5";"square";"2000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"y-221290";"Z_4";"50";"sum";"TRUE";"50";"0.2";"0.5";"log";"2000";"1e-04";"0";"0.0732";"0.0153";"0.002";"0.0025";"0.0968";"1e-04";"0.0011";"0.0871";"0";"0";"0.0706";"0.0867";"3e-04";"0.1074";"0.0026";"0.0047";"0.0935";"0.1128";"0.0015";"0.0836";"0.1024";"1e-04";"0.0974";"0.1035";"0.1241";"0.0074";"0.1142";"0.1107";"0.1266"
"c-105110";"Z_4";"2";"product";"FALSE";"2";"0.2";"0.1";"cubic";"2000";"0.5638";"1.46";"0";"0.1016";"0.0945";"0.8334";"0.6878";"0.5712";"0.7909";"0.0062";"1.5956";"0.2611";"0.0039";"0.0154";"0.096";"0.2026";"0.8361";"0.7321";"0.6136";"0.2557";"0.7877";"0.0381";"0.0612";"0.2617";"0.0167";"0.1596";"0.25";"0.7314";"0.2566";"0.0611";"0.2508"
"l-179514";"Z_4";"10";"sum";"FALSE";"10";"0.5";"0.1";"square";"2000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"x-361834";"Z_6";"100";"sum";"FALSE";"100";"0.5";"0.2";"square";"2000";"1.1408";"1.2341";"1.249";"1.1592";"0.4631";"1.0538";"1.1714";"1.1982";"1.1417";"1.2305";"1.1845";"0.5689";"1.2951";"0.2469";"0.5333";"1.1943";"1.1035";"0.3088";"1.2252";"0.2213";"1.1841";"1.2804";"0.2402";"0.5926";"0.1696";"1.2503";"0.223";"0.3947";"0.1562";"0.1665";"0.1606"
"b-823904";"Z_5";"20";"product";"TRUE";"20";"0.2";"1";"log";"2000";"0.4582";"0.4637";"0.3827";"0.4636";"0";"0.4478";"0.3825";"0.434";"0";"0.3828";"0.4642";"0";"0.3589";"0";"0";"0.3757";"0.4058";"0";"0.355";"0";"0";"0.3601";"0";"0";"0";"0.3499";"0";"0";"0";"0";"0"
"q-123907";"Z_1";"5";"sum";"FALSE";"5";"2";"2";"softplus";"2000";"0";"0.1738";"0.8653";"0.8684";"0.941";"0";"0";"0";"0";"0.0656";"0.1429";"0.1748";"0.684";"0.8647";"0.858";"0";"0";"0";"0";"0";"0";"0.2077";"0.1643";"0.1442";"0.6872";"0";"0";"0";"0";"0.2405";"0"
"y-191785";"Z_1";"3";"product";"TRUE";"3";"5";"0.1";"cubic";"500";"0.1628";"1.1666";"1.0953";"1.282";"1.2369";"0.3952";"0.4018";"0.1376";"0.8629";"1.1706";"1.0851";"1.1085";"1.0021";"1.3561";"1.2462";"0.3368";"0.6626";"0.7692";"0.3198";"0.9861";"0.8408";"1.0872";"1.0221";"1.1072";"1.363";"0.3058";"0.532";"0.6815";"0.8832";"1.0195";"0.5173"
"q-834881";"Z_2";"50";"product";"FALSE";"50";"1";"2";"softplus";"500";"0";"0";"0";"0";"0";"0.0035";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.0147";"0.0032";"0.0038";"0";"0";"0";"0";"0";"0";"0";"0.0132";"0.0102";"0.0031";"0";"0";"0.0088"
"v-634451";"Z_4";"20";"product";"FALSE";"20";"10";"0.5";"log";"500";"0";"0";"1.8604";"0";"0.2165";"0";"1.8943";"0";"0.5367";"1.835";"0";"0.5395";"1.8527";"1.8892";"0.5535";"1.9123";"0";"0.3643";"1.8832";"1.934";"0.6052";"1.8245";"1.8767";"0.6044";"1.9124";"1.9015";"1.9326";"0.4139";"1.9503";"1.8979";"1.9439"
"t-711087";"Z_6";"5";"sum";"TRUE";"5";"5";"0.2";"square";"500";"0.0027";"0";"0";"0";"0.2681";"0";"0";"3e-04";"0.1131";"0";"0";"0.001";"0";"1.1859";"0";"0";"0";"2e-04";"0";"1.1524";"0.0299";"0";"1.0152";"0";"1.1482";"0";"1.0052";"1e-04";"1.0009";"1.0266";"1.0203"
"e-411111";"Z_6";"3";"sum";"FALSE";"3";"1";"10";"cubic";"500";"0.9583";"0.3063";"0.499";"0.8343";"0.8343";"0.1972";"0.7209";"0.1024";"0.9648";"1.0233";"0.8372";"0.3167";"0.8346";"0.1642";"0.8353";"0.74";"0.1732";"0.2132";"0.1279";"0.7111";"0.3993";"0.8365";"0.1294";"0.8375";"0.8357";"0.5241";"0.7799";"0.5681";"0.6007";"0.3643";"0.4942"
"v-125150";"Z_2";"10";"product";"FALSE";"10";"10";"2";"softplus";"500";"0.022";"0";"0";"0";"0";"0";"0.0035";"0.0259";"0.0283";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.0034";"0.0046";"0";"0";"0";"0";"0";"0";"0";"0";"1e-04";"0";"0"
"p-975500";"Z_4";"20";"product";"FALSE";"20";"0.2";"10";"log";"500";"0";"0";"0.2336";"0";"0";"0";"0.2308";"0";"0";"0.161";"0";"0";"0.143";"0.1763";"0";"0.2271";"0";"0";"0.2047";"0.2877";"0";"0.1814";"0.0794";"0";"0.1601";"0.202";"0.114";"0";"0.2846";"0.1088";"0.1561"
