"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"s-512971";"Z_4";"20";"sum";"TRUE";"20";"2";"2";"softplus";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"c-450320";"Z_3";"3";"sum";"TRUE";"3";"0";"5";"square";"500";"0.0118";"0";"0.0121";"0.0115";"0";"0";"0.0125";"0.012";"0.0071";"0.0067";"0";"0.1272";"0.0121";"0.1378";"0.1342";"0";"0";"0";"0.0124";"0.1381";"0.135";"0.0108";"0.1298";"0.0358";"0.1379";"0";"4e-04";"0.0011";"0.1382";"0.0812";"0.008"
"n-320179";"Z_5";"5";"product";"TRUE";"5";"2";"1";"log";"500";"0.1258";"0.122";"0.1288";"0.1357";"0";"0.1242";"0.1449";"0.1256";"0";"0.125";"0.1225";"0";"0.1338";"0";"0";"0.1489";"0.1244";"0";"0.1492";"0";"0";"0.1302";"0";"0";"0";"0.1533";"0";"0";"0";"0";"0"
"j-978561";"Z_2";"3";"sum";"FALSE";"3";"10";"2";"square";"500";"1e-04";"0";"0";"0";"0";"0";"1e-04";"1e-04";"1e-04";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1e-04";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"j-620181";"Z_4";"20";"sum";"TRUE";"20";"1";"5";"cubic";"500";"1.1994";"0.9386";"0.1155";"1.3185";"1.3839";"1.0681";"0.5859";"1.0578";"1.7796";"0.3845";"0.9611";"1.1331";"0.1937";"0.0553";"1.6453";"0.2325";"1.152";"1.345";"0.5612";"0.4003";"1.5501";"0.4815";"0.3522";"1.3078";"0.0921";"0.4804";"0.6701";"1.4544";"0.3902";"0.3498";"0.6921"
"p-938154";"Z_4";"5";"sum";"FALSE";"5";"0.1";"5";"square";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"g-427293";"Z_5";"10";"product";"TRUE";"10";"0.5";"1";"square";"500";"0.9611";"0.9278";"0.9441";"0.8532";"0.8696";"0.9464";"1.0351";"0.9552";"0.9657";"0.7154";"0.9233";"0.7333";"0.945";"0.7438";"0.8673";"0.7342";"0.9409";"0.7654";"1.0349";"0.8231";"0.9635";"0.719";"0.8289";"0.8796";"0.7294";"0.7424";"0.8355";"0.909";"0.8055";"0.8002";"0.807"
"i-536065";"Z_3";"50";"sum";"TRUE";"50";"1";"0";"softplus";"500";"0";"0";"4e-04";"0";"1e-04";"0";"0.0026";"0";"0.004";"4e-04";"0";"1e-04";"4e-04";"0.0123";"0.0367";"0.0012";"0";"0.001";"0.0031";"0.0174";"0.0162";"5e-04";"0.011";"0.0255";"0.0433";"0.0016";"0.0173";"0.0157";"0.025";"0.0487";"0.02"
"m-822417";"Z_6";"100";"product";"TRUE";"100";"0.1";"10";"cubic";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"a-114789";"Z_5";"100";"sum";"FALSE";"100";"0.5";"10";"log";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"y-279357";"Z_1";"10";"sum";"FALSE";"10";"2";"1";"square";"500";"0";"0.0159";"0.0486";"0.0438";"0.175";"2e-04";"0";"0";"0";"0.0165";"0.0159";"0.0011";"0.0486";"0.1288";"0.1666";"2e-04";"2e-04";"4e-04";"0";"0";"0";"0.0167";"0.0018";"0.0011";"0.1324";"2e-04";"2e-04";"4e-04";"0";"0.0018";"2e-04"
"b-445916";"Z_6";"5";"sum";"FALSE";"5";"0.2";"10";"softplus";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"t-719840";"Z_2";"5";"sum";"FALSE";"5";"0.5";"0.1";"softplus";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"p-375452";"Z_5";"2";"sum";"TRUE";"2";"10";"0";"softplus";"500";"0.0481";"0.0444";"0.0515";"0.0486";"0.0844";"0.045";"0.0515";"0.0484";"0.0784";"0.0472";"0.0447";"0.0819";"0.0521";"0.0794";"0.0871";"0.0477";"0.0452";"0.08";"0.0521";"0.0815";"0.0807";"0.0477";"0.0825";"0.084";"0.0881";"0.048";"0.0829";"0.0823";"0.0906";"0.0903";"0.091"
"t-675968";"Z_2";"3";"sum";"TRUE";"3";"2";"0.1";"log";"500";"0.752";"1.19";"0.1289";"0.0034";"0.161";"0.0098";"0.8741";"0.7774";"0.7455";"1.1663";"1.184";"1.1722";"0.1305";"0.3713";"0.3014";"0.0105";"0.0103";"0.0108";"0.9083";"0.847";"0.8989";"1.1605";"1.1605";"1.1781";"0.3529";"0.0108";"0.0114";"0.0136";"0.9149";"1.1605";"0.0145"
"h-376362";"Z_2";"5";"sum";"FALSE";"5";"0.2";"0";"square";"500";"0.0083";"0";"0.0257";"0.1959";"0.0518";"0";"0.0089";"0.0113";"0.0116";"0.1329";"0.0421";"0";"0.2433";"9e-04";"0.1869";"0.0048";"0.0016";"0";"0.0117";"0.0125";"0.0206";"0.1359";"0.0434";"0.0197";"0.0443";"0.0047";"0.0161";"0.0142";"0.0211";"0.1251";"0.0215"
"s-568843";"Z_2";"50";"sum";"TRUE";"50";"0.2";"0.5";"softplus";"500";"0.0327";"1e-04";"0";"0";"0";"0.0079";"0.0341";"0.0362";"0.0287";"1e-04";"1e-04";"1e-04";"0";"0";"1e-04";"0.0094";"0.0084";"0.0079";"0.0377";"0.0335";"0.0194";"1e-04";"1e-04";"1e-04";"1e-04";"0.0102";"0.0095";"0.0089";"0.0271";"1e-04";"0.0109"
"h-886247";"Z_1";"100";"sum";"TRUE";"100";"1";"0";"cubic";"500";"1.033";"0.1745";"0.7093";"0.816";"0.8546";"0.9387";"1.19";"0.9829";"1.0934";"0.3132";"0.1721";"0.1502";"0.7019";"0.2066";"0.8662";"0.8844";"0.9137";"0.9387";"1.1491";"1.5575";"1.1023";"0.3336";"0.6384";"0.149";"0.203";"0.8418";"0.786";"0.8892";"1.5168";"0.6755";"0.7585"
"e-935932";"Z_2";"20";"product";"FALSE";"20";"5";"1";"cubic";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"p-946630";"Z_6";"5";"sum";"TRUE";"5";"2";"2";"log";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2e-04";"0.0048";"0";"0.001";"0.0025";"0.0076";"0";"0.0062";"0.0028";"0";"0"
"t-884710";"Z_1";"5";"product";"TRUE";"5";"5";"0.2";"square";"500";"0.008";"0.8181";"0.8797";"0.9483";"0.8897";"0.0013";"0.0145";"0.0778";"0.0055";"0.7174";"1.0336";"0.8087";"0.9433";"0.8046";"0.9849";"0.0024";"0.0292";"7e-04";"0.1246";"0.0104";"0.1094";"1.0288";"0.7193";"0.9972";"0.9793";"0.0443";"0.0014";"0.0096";"0.1604";"0.9921";"0.0149"
"m-316808";"Z_3";"3";"sum";"FALSE";"3";"0";"1";"log";"500";"0.7514";"1.5319";"0.0105";"0.0109";"0.0034";"0.9022";"0.4996";"0.7576";"0.729";"1.5047";"1.5341";"1.5367";"0.0122";"0.0039";"0.0036";"0.919";"0.9007";"0.9206";"0.501";"0.494";"0.7336";"1.517";"1.4233";"1.5604";"0.0041";"0.9059";"0.9233";"0.9089";"0.4965";"1.4541";"0.9121"
"e-800424";"Z_4";"20";"sum";"FALSE";"20";"2";"10";"softplus";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"g-729860";"Z_5";"50";"sum";"FALSE";"50";"5";"0.2";"softplus";"500";"0.744";"0.7909";"0.6928";"0.7898";"0";"0.888";"0.851";"0.7322";"0";"0.6899";"0.8098";"0";"0.7836";"0";"0";"0.8868";"0.8721";"0";"0.888";"0";"0";"0.7888";"0";"0";"0";"0.8857";"0";"0";"0";"0";"0"
